"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "Batch", "TypeScript JSX", "HTML", "XML", "PostCSS", "comment", "blank", "total"
"c:\Code\2024\linlaw\src\app\api\send-emails\route.ts", "TypeScript", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 8, 83
"c:\Code\2024\linlaw\src\app\api\settings\key\[key]\route.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Code\2024\linlaw\src\app\api\settings\public\route.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Code\2024\linlaw\src\app\api\settings\route.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 10, 64
"c:\Code\2024\linlaw\src\app\api\setup\route.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Code\2024\linlaw\src\app\api\team\[id]\route.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Code\2024\linlaw\src\app\api\team\route.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Code\2024\linlaw\src\app\api\users\[id]\getSignedUrl\route.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Code\2024\linlaw\src\app\api\users\[id]\route.ts", "TypeScript", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 9, 13, 186
"c:\Code\2024\linlaw\src\app\api\users\route.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 1, 9, 97
"c:\Code\2024\linlaw\src\app\careers\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 376, 0, 0, 0, 0, 48, 424
"c:\Code\2024\linlaw\src\app\careers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 6, 27
"c:\Code\2024\linlaw\src\app\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 1, 14, 67
"c:\Code\2024\linlaw\src\app\dashboard\files\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 316, 0, 0, 0, 9, 43, 368
"c:\Code\2024\linlaw\src\app\dashboard\files\upload\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"c:\Code\2024\linlaw\src\app\dashboard\newsletters\[newsletterId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 7, 107
"c:\Code\2024\linlaw\src\app\dashboard\newsletters\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"c:\Code\2024\linlaw\src\app\dashboard\newsletters\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 278, 0, 0, 0, 3, 17, 298
"c:\Code\2024\linlaw\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 4, 26, 224
