Date : 2026-03-23 18:13:28
Directory : c:\Code\2024\linlaw
Total : 441 files,  42471 codes, 283 comments, 4962 blanks, all 47716 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        165 |     19,583 |        135 |      2,685 |     22,403 |
| TypeScript         |        254 |     12,845 |        122 |      2,162 |     15,129 |
| JSON               |          7 |      9,355 |          0 |          6 |      9,361 |
| PostCSS            |          7 |        566 |         24 |         87 |        677 |
| JSON with Comments |          2 |         46 |          0 |          3 |         49 |
| Markdown           |          1 |         29 |          0 |         10 |         39 |
| JavaScript         |          2 |         23 |          2 |          5 |         30 |
| Batch              |          1 |         22 |          0 |          4 |         26 |
| HTML               |          1 |          1 |          0 |          0 |          1 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        441 |     42,471 |        283 |      4,962 |     47,716 |
| . (Files)                                                                                         |         10 |      8,518 |          2 |         28 |      8,548 |
| public                                                                                            |          3 |          3 |          0 |          0 |          3 |
| public (Files)                                                                                    |          2 |          2 |          0 |          0 |          2 |
| public\images                                                                                     |          1 |          1 |          0 |          0 |          1 |
| src                                                                                               |        425 |     33,388 |        277 |      4,908 |     38,573 |
| src (Files)                                                                                       |          1 |         86 |          4 |         20 |        110 |
| src\ThirdPartyServices                                                                            |          2 |        217 |          0 |         36 |        253 |
| src\app                                                                                           |         92 |      8,608 |         54 |      1,276 |      9,938 |
| src\app (Files)                                                                                   |          4 |        263 |          4 |         69 |        336 |
| src\app\[lang]                                                                                    |         24 |      2,841 |         15 |        468 |      3,324 |
| src\app\[lang] (Files)                                                                            |          3 |        172 |          1 |         41 |        214 |
| src\app\[lang]\careers                                                                            |          2 |        385 |          0 |         56 |        441 |
| src\app\[lang]\login                                                                              |          2 |        102 |          0 |         23 |        125 |
| src\app\[lang]\newsletters                                                                        |          4 |        769 |          2 |        120 |        891 |
| src\app\[lang]\newsletters (Files)                                                                |          2 |        301 |          1 |         47 |        349 |
| src\app\[lang]\newsletters\[id]                                                                   |          2 |        468 |          1 |         73 |        542 |
| src\app\[lang]\profile                                                                            |          2 |         94 |          0 |         16 |        110 |
| src\app\[lang]\related-businesses                                                                 |          4 |        683 |          5 |        107 |        795 |
| src\app\[lang]\related-businesses (Files)                                                         |          2 |        167 |          1 |         38 |        206 |
| src\app\[lang]\related-businesses\[slug]                                                          |          2 |        516 |          4 |         69 |        589 |
| src\app\[lang]\signup                                                                             |          2 |        112 |          0 |         21 |        133 |
| src\app\[lang]\team-members                                                                       |          5 |        524 |          7 |         84 |        615 |
| src\app\[lang]\team-members (Files)                                                               |          2 |        259 |          2 |         33 |        294 |
| src\app\[lang]\team-members\[username]                                                            |          3 |        265 |          5 |         51 |        321 |
| src\app\api                                                                                       |         43 |      2,693 |         15 |        431 |      3,139 |
| src\app\api\auth                                                                                  |          4 |        229 |          4 |         57 |        290 |
| src\app\api\auth\login                                                                            |          1 |         51 |          1 |         13 |         65 |
| src\app\api\auth\logout                                                                           |          1 |         36 |          2 |          8 |         46 |
| src\app\api\auth\refresh                                                                          |          1 |         90 |          0 |         22 |        112 |
| src\app\api\auth\signup                                                                           |          1 |         52 |          1 |         14 |         67 |
| src\app\api\careers                                                                               |          2 |        144 |          0 |         36 |        180 |
| src\app\api\careers (Files)                                                                       |          1 |         69 |          0 |         18 |         87 |
| src\app\api\careers\[careerId]                                                                    |          1 |         75 |          0 |         18 |         93 |
| src\app\api\contact-us                                                                            |          1 |         50 |          2 |         12 |         64 |
| src\app\api\data                                                                                  |          1 |         95 |          0 |         12 |        107 |
| src\app\api\files                                                                                 |          4 |        175 |          0 |         31 |        206 |
| src\app\api\files (Files)                                                                         |          1 |         50 |          0 |          8 |         58 |
| src\app\api\files\[id]                                                                            |          1 |         48 |          0 |          7 |         55 |
| src\app\api\files\signedUrl                                                                       |          1 |         31 |          0 |          6 |         37 |
| src\app\api\files\sync                                                                            |          1 |         46 |          0 |         10 |         56 |
| src\app\api\firebase                                                                              |          2 |         64 |          0 |         10 |         74 |
| src\app\api\firebase\set-cors                                                                     |          1 |         37 |          0 |          5 |         42 |
| src\app\api\firebase\status                                                                       |          1 |         27 |          0 |          5 |         32 |
| src\app\api\inquiry                                                                               |          4 |        333 |          1 |         51 |        385 |
| src\app\api\inquiry (Files)                                                                       |          1 |         63 |          0 |         13 |         76 |
| src\app\api\inquiry\[id]                                                                          |          3 |        270 |          1 |         38 |        309 |
| src\app\api\inquiry\[id] (Files)                                                                  |          1 |        143 |          1 |         18 |        162 |
| src\app\api\inquiry\[id]\reply                                                                    |          2 |        127 |          0 |         20 |        147 |
| src\app\api\me                                                                                    |          2 |        116 |          0 |         22 |        138 |
